SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,41,,良好,0.7,0.09,27,37,8,1.8,5.1,238,1,3.64,1.8,2016-05-29 12:00
關山,臺東縣,24,,良好,1.1,,26,24,7,2.4,2,210,1,3.16,.75,2016-05-29 12:00
馬公,澎湖縣,19,,良好,1.4,0.2,22,16,4,5.6,2.7,177,1,9.15,3.54,2016-05-29 12:00
金門,金門縣,33,,良好,2.4,0.13,40,21,7,3.6,5.7,210,1,4.86,1.24,2016-05-29 12:00
馬祖,連江縣,33,,良好,2.3,0.11,39,32,12,2.7,7,202,1,4.94,2.28,2016-05-29 12:00
埔里,南投縣,30,,良好,0.9,0.15,36,17,10,3.5,3,310,1,4.58,1.06,2016-05-29 12:00
復興,高雄市,24,,良好,3.7,0.23,21,25,5,7.4,1.5,223,1,10.95,3.51,2016-05-29 12:00
永和,新北市,34,,良好,2.2,0.67,40,20,6,17,3.5,261,1,24.33,7.59,2016-05-29 12:00
竹山,南投縣,42,,良好,3.1,0.15,50,31,12,4.9,3.1,242,1,5.16,.21,2016-05-29 12:00
中壢,桃園市,47,,良好,2.7,0.76,35,57,12,21,2.9,176,2,39.6,19.04,2016-05-29 12:00
三重,新北市,40,,良好,3.2,1.3,,40,11,37,,,2,88.28,51.25,2016-05-29 12:00
冬山,宜蘭縣,34,,良好,3.1,0.23,41,27,7,6.4,3.1,55,1,8.57,2.22,2016-05-29 12:00
宜蘭,宜蘭縣,40,,良好,3.2,0.19,48,37,14,3.2,3,134,1,4.17,.97,2016-05-29 12:00
陽明,臺北市,0,,,1.9,0.16,42,21,13,3.1,,,,4.86,1.81,2016-05-29 12:00
花蓮,花蓮縣,36,,良好,2,0.16,43,21,7,1.8,2.3,142,1,3.81,2.02,2016-05-29 12:00
臺東,臺東縣,21,,良好,1.9,0.21,25,18,7,3.5,2.7,87,1,5.88,2.4,2016-05-29 12:00
恆春,屏東縣,23,,良好,1,0.08,27,19,3,2.3,4.8,262,1,4.31,2.06,2016-05-29 12:00
潮州,屏東縣,39,,良好,6.7,0.33,42,49,6,7.8,3.9,276,2,10.47,2.71,2016-05-29 12:00
屏東,屏東縣,38,,良好,-0.5,0.19,34,42,7,3.8,3.3,240,2,5.01,1.21,2016-05-29 12:00
小港,高雄市,30,,良好,4.2,0.13,22,41,5,5.6,2.6,253,1,8.61,3.05,2016-05-29 12:00
前鎮,高雄市,20,,良好,2.7,0.16,24,25,12,3.9,2.4,283,1,6.38,2.45,2016-05-29 12:00
前金,高雄市,23,,良好,3,0.1,27,13,10,1.1,4,261,1,2.75,1.69,2016-05-29 12:00
左營,高雄市,28,,良好,1.9,0.1,26,31,12,2.1,4.4,268,2,2.83,.71,2016-05-29 12:00
楠梓,高雄市,39,,良好,1.3,0.11,24,43,14,2.1,2.9,267,1,2.89,.84,2016-05-29 12:00
林園,高雄市,24,,良好,6.1,0.07,29,20,8,3.3,3.6,259,1,5.76,2.43,2016-05-29 12:00
大寮,高雄市,24,,良好,4.7,0.1,27,18,0,5.2,2.7,239,1,7.71,2.54,2016-05-29 12:00
鳳山,高雄市,36,,良好,3,0.26,27,27,10,6.2,3.7,252,1,9.17,2.92,2016-05-29 12:00
仁武,高雄市,31,,良好,1.5,0.1,26,25,8,3.9,3.8,251,1,5.57,1.71,2016-05-29 12:00
橋頭,高雄市,21,,良好,1.6,0.1,25,19,6,1.9,4.4,250,1,3.46,1.59,2016-05-29 12:00
美濃,高雄市,33,,良好,1.4,0.14,39,12,13,2.5,1.8,259,1,3.43,.9,2016-05-29 12:00
臺南,臺南市,22,,良好,1.3,0.07,27,12,13,3,3.7,240,2,3.59,.58,2016-05-29 12:00
安南,臺南市,27,,良好,2.1,0.14,28,24,17,-0.3,4.9,273,2,.52,.78,2016-05-29 12:00
善化,臺南市,34,,良好,1.3,0.11,29,39,4,3.6,4.5,241,1,5.22,1.61,2016-05-29 12:00
新營,臺南市,37,,良好,1.4,0.18,28,32,19,3.8,2.8,227,1,5.38,1.54,2016-05-29 12:00
