SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
嘉義,嘉義市,39,,良好,1.9,0.08,41,42,23,0.6,4.5,222,2,2.45,1.83,2016-05-29 12:00
臺西,雲林縣,28,,良好,1.9,0.1,26,35,7,3,5.5,241,1,4.48,1.51,2016-05-29 12:00
朴子,嘉義縣,43,,良好,1.4,0.18,24,34,11,3.4,4.3,246,2,5.43,2.05,2016-05-29 12:00
新港,嘉義縣,36,,良好,2,0.09,25,35,5,4,3.7,229,1,8.77,4.78,2016-05-29 12:00
崙背,雲林縣,30,,良好,2,0.09,28,29,18,1.3,5.6,224,2,2.59,1.28,2016-05-29 12:00
斗六,雲林縣,30,,良好,3.7,0.26,36,29,11,4.9,3.1,239,2,7.04,2.12,2016-05-29 12:00
南投,南投縣,35,,良好,2.2,0.21,42,34,19,3.2,3.8,227,2,5.55,2.37,2016-05-29 12:00
二林,彰化縣,26,,良好,2.7,0.08,26,26,7,1.3,5.8,264,2,2.41,1.15,2016-05-29 12:00
線西,彰化縣,32,,良好,1.7,0.1,27,28,8,0.9,5.6,240,2,2.16,1.28,2016-05-29 12:00
彰化,彰化縣,40,,良好,2.1,0.14,30,48,19,3.7,4.1,215,1,5.19,1.44,2016-05-29 12:00
西屯,臺中市,30,,良好,2.9,0.09,36,31,12,4.1,4.2,243,1,5.09,.96,2016-05-29 12:00
忠明,臺中市,28,,良好,1.6,0.21,33,26,8,6.7,2.3,238,1,9.25,2.6,2016-05-29 12:00
大里,臺中市,35,,良好,2,0.19,39,31,18,5.7,4.5,237,2,8.16,2.42,2016-05-29 12:00
沙鹿,臺中市,28,,良好,3,0.12,34,25,7,4.5,5.1,231,1,6.08,1.57,2016-05-29 12:00
豐原,臺中市,34,,良好,2.3,0.21,41,24,19,6.3,4.9,218,2,7.71,1.46,2016-05-29 12:00
三義,苗栗縣,35,,良好,1.5,0.15,42,25,13,5.1,4.4,213,1,6.45,1.37,2016-05-29 12:00
苗栗,苗栗縣,33,,良好,2,0.18,40,43,33,4.8,3.3,227,2,6.24,1.48,2016-05-29 12:00
頭份,苗栗縣,37,,良好,2.2,0.16,44,35,10,5.2,6.7,237,1,6.41,1.18,2016-05-29 12:00
新竹,新竹市,33,,良好,2.5,0.25,40,43,8,6.6,6.1,252,1,8.48,1.93,2016-05-29 12:00
竹東,新竹縣,36,,良好,1.2,0.17,44,30,6,3.5,6.9,241,1,5.75,2.26,2016-05-29 12:00
湖口,新竹縣,37,,良好,3,0.13,45,37,21,4.7,8.6,249,2,5.65,.99,2016-05-29 12:00
龍潭,桃園市,36,,良好,1.6,0.22,44,40,11,6,5,253,2,9.05,3.1,2016-05-29 12:00
平鎮,桃園市,39,,良好,1.7,0.19,47,40,11,6.7,4.9,331,1,7.51,.84,2016-05-29 12:00
觀音,桃園市,43,,良好,2.2,0.13,38,56,11,3.4,8.8,255,1,4.43,1.03,2016-05-29 12:00
大園,桃園市,43,,良好,2.6,0.17,52,44,19,4.6,8.8,236,2,4.92,.37,2016-05-29 12:00
桃園,桃園市,42,,良好,2,0.28,50,38,14,8.7,3.4,258,1,9.98,1.33,2016-05-29 12:00
大同,臺北市,39,,良好,3.5,1.18,,43,18,23,,,2,38.81,15.33,2016-05-29 12:00
松山,臺北市,39,,良好,1.3,0.31,47,25,22,14,2.4,254,2,18.67,4.38,2016-05-29 12:00
古亭,臺北市,42,,良好,1.4,0.27,51,30,7,9.5,3.5,251,1,12.12,2.64,2016-05-29 12:00
萬華,臺北市,43,,良好,1.9,0.33,52,39,15,9.2,3,281,1,10.82,1.62,2016-05-29 12:00
中山,臺北市,38,,良好,2.7,0.55,45,46,12,18,2.8,261,2,23.81,5.56,2016-05-29 12:00
士林,臺北市,42,,良好,2.3,0.17,51,37,22,5.9,4.4,280,2,6.48,.6,2016-05-29 12:00
淡水,新北市,36,,良好,2.8,0.14,43,35,13,3.8,,,2,5.64,1.85,2016-05-29 12:00
林口,新北市,41,,良好,1.3,0.16,49,47,14,3.9,6.2,261,1,5.34,1.41,2016-05-29 12:00
菜寮,新北市,41,,良好,2.5,0.28,49,36,13,7.8,5.3,286,1,10.26,2.51,2016-05-29 12:00
新莊,新北市,44,,良好,2.1,0.23,53,25,16,7.3,4.6,258,2,8.61,1.33,2016-05-29 12:00
板橋,新北市,41,,良好,2.1,0.24,49,30,6,7.3,5.3,232,1,9.15,1.89,2016-05-29 12:00
土城,新北市,41,,良好,1.6,0.17,49,18,9,5.4,3,263,1,6.56,1.2,2016-05-29 12:00
新店,新北市,38,,良好,1.7,0.21,46,21,14,7,4.4,272,2,10.1,3.12,2016-05-29 12:00
萬里,新北市,47,,良好,4.2,0.2,57,28,18,5.1,3.3,305,2,7.01,1.89,2016-05-29 12:00
汐止,新北市,41,,良好,1.6,0.34,50,24,12,8.3,2.3,273,2,10.63,2.38,2016-05-29 12:00
基隆,基隆市,41,,良好,1.5,0.27,50,18,10,5.8,2,222,1,7.12,1.34,2016-05-29 12:00
