SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,62,懸浮微粒,普通,2.2,0.31,16,89,44,11,1,88,4,13.3,2.24,2016-05-27 02:00
關山,臺東縣,22,,良好,1.2,,6.4,28,7,2.3,0.5,238,1,4.42,2.13,2016-05-27 02:00
馬公,澎湖縣,30,,良好,2.3,0.21,36,26,20,3.8,1.3,145,2,5.03,1.19,2016-05-27 02:00
金門,金門縣,43,,良好,7,0.23,14,43,24,16,0.5,242,3,17.4,.95,2016-05-27 02:00
馬祖,連江縣,35,,良好,3.4,0.2,21,45,23,9.4,0.8,199,2,9.69,.32,2016-05-27 02:00
埔里,南投縣,42,,良好,2.5,0.31,24,42,27,8,1.1,319,3,9.33,1.37,2016-05-27 02:00
復興,高雄市,22,,良好,5,0.26,13,30,7,14,1.1,100,1,15.44,1.62,2016-05-27 02:00
永和,新北市,40,,良好,2.5,0.4,17,33,10,8.5,1.4,165,2,10.02,1.48,2016-05-27 02:00
竹山,南投縣,35,,良好,1.7,0.15,7,34,10,7.7,0.7,294,1,8.94,1.21,2016-05-27 02:00
中壢,桃園市,80,懸浮微粒,普通,2.2,0.88,20,119,48,23,0.6,169,6,27.86,5,2016-05-27 02:00
三重,新北市,54,懸浮微粒,普通,3.2,0.89,,41,11,25,,,3,39.69,14.25,2016-05-27 02:00
冬山,宜蘭縣,28,,良好,1.8,0.23,6.1,31,10,7.5,0.7,182,1,8.69,1.23,2016-05-27 02:00
宜蘭,宜蘭縣,30,,良好,2,0.23,15,33,12,4.6,1,288,1,5.32,.72,2016-05-27 02:00
陽明,臺北市,44,,良好,2.2,0.21,52,25,19,1.6,,,2,2.55,.98,2016-05-27 02:00
花蓮,花蓮縣,25,,良好,1.3,0.14,14,27,8,2,2.9,232,1,3.25,1.22,2016-05-27 02:00
臺東,臺東縣,19,,良好,1,0.17,8.6,23,7,4.2,0.7,309,1,5.17,.98,2016-05-27 02:00
恆春,屏東縣,22,,良好,1,0.08,26,15,2,3.2,3.3,63,1,5.92,2.76,2016-05-27 02:00
潮州,屏東縣,20,,良好,1.3,0.1,9.3,12,0,4.9,1,140,1,6.11,1.24,2016-05-27 02:00
屏東,屏東縣,16,,良好,2.1,0.17,13,13,9,9.5,1.2,42,2,10.78,1.27,2016-05-27 02:00
小港,高雄市,34,,良好,16,0.72,4.3,39,19,27,1.4,112,1,31.63,4.97,2016-05-27 02:00
前鎮,高雄市,19,,良好,6.4,0.35,7.7,26,12,18,0.8,168,1,19.55,2.01,2016-05-27 02:00
前金,高雄市,24,,良好,18,0.33,5.4,36,3,23,1.5,164,1,24.74,1.77,2016-05-27 02:00
左營,高雄市,40,,良好,4.7,0.27,14,70,10,15,2.2,132,1,15.25,.67,2016-05-27 02:00
楠梓,高雄市,43,,良好,3.6,0.34,1.1,62,7,19,1.1,76,1,24.04,4.62,2016-05-27 02:00
林園,高雄市,16,,良好,2.1,0.09,18,21,7,8.4,1.8,109,1,9.24,.8,2016-05-27 02:00
大寮,高雄市,30,,良好,2.3,0.23,8.2,24,2,10,0.4,39,1,12.23,1.92,2016-05-27 02:00
鳳山,高雄市,40,,良好,3.2,0.28,10,29,0,12,1.9,47,1,13.65,1.32,2016-05-27 02:00
仁武,高雄市,31,,良好,6.9,0.32,6.7,32,0,18,1.1,97,1,19.36,1.68,2016-05-27 02:00
橋頭,高雄市,24,,良好,4.4,0.3,4.4,26,4,16,1.9,67,1,18.49,2.61,2016-05-27 02:00
美濃,高雄市,20,,良好,1.6,0.15,13,17,7,4.1,0.6,18,1,6.44,2.36,2016-05-27 02:00
臺南,臺南市,18,,良好,3,0.12,21,18,2,8.4,0.5,153,1,9.14,.76,2016-05-27 02:00
安南,臺南市,23,,良好,4.7,0.29,4.3,30,5,16,1.4,66,1,16.54,.61,2016-05-27 02:00
善化,臺南市,29,,良好,5.8,0.23,6.1,35,4,13,1.1,84,1,13.77,.88,2016-05-27 02:00
新營,臺南市,30,,良好,3.1,0.17,11,19,2,8.6,1.4,96,1,9.67,1.1,2016-05-27 02:00
嘉義,嘉義市,30,,良好,1.7,0.26,4.4,31,13,8.8,0.8,93,2,10.23,1.45,2016-05-27 02:00
臺西,雲林縣,57,懸浮微粒,普通,2.4,0.28,17,82,44,12,2.2,96,4,12.92,.61,2016-05-27 02:00
朴子,嘉義縣,52,懸浮微粒,普通,2.9,0.19,15,70,20,12,0.7,99,2,12.61,1.09,2016-05-27 02:00
新港,嘉義縣,46,,良好,3,0.32,4,43,22,19,0.9,88,2,21.51,2.15,2016-05-27 02:00
崙背,雲林縣,59,懸浮微粒,普通,2.4,0.38,2.8,64,35,22,1.2,82,5,26.28,4.38,2016-05-27 02:00
斗六,雲林縣,31,,良好,2.4,0.16,13,32,6,7.4,1,108,1,7.78,.36,2016-05-27 02:00
南投,南投縣,44,,良好,1.7,0.27,9.1,45,20,7.4,0.8,231,2,8.25,.84,2016-05-27 02:00
二林,彰化縣,54,懸浮微粒,普通,1,0.23,3.5,54,29,15,1.6,145,3,17.37,2.27,2016-05-27 02:00
線西,彰化縣,54,懸浮微粒,普通,4.2,0.61,12,67,46,19,1.2,157,4,19.82,.84,2016-05-27 02:00
彰化,彰化縣,62,懸浮微粒,普通,9.4,0.5,12,78,45,16,0.9,138,4,16.57,.82,2016-05-27 02:00
西屯,臺中市,56,懸浮微粒,普通,1.8,0.39,14,51,30,20,1.7,201,4,20.74,.96,2016-05-27 02:00
忠明,臺中市,45,,良好,1.4,0.34,28,34,31,10,1.1,179,3,11.6,1.31,2016-05-27 02:00
大里,臺中市,60,懸浮微粒,普通,1.9,0.31,28,60,26,9,0.7,107,3,9.95,.99,2016-05-27 02:00
沙鹿,臺中市,54,懸浮微粒,普通,3.3,0.38,22,57,36,15,2.3,148,4,16.77,1.38,2016-05-27 02:00
豐原,臺中市,52,懸浮微粒,普通,2,0.37,35,36,41,6.6,1.1,161,6,7.86,1.31,2016-05-27 02:00
三義,苗栗縣,56,懸浮微粒,普通,1.8,0.35,35,57,34,8,0.5,199,4,8.81,.78,2016-05-27 02:00
苗栗,苗栗縣,62,懸浮微粒,普通,1.5,0.45,13,77,52,16,0.5,206,6,17.29,1.67,2016-05-27 02:00
頭份,苗栗縣,58,懸浮微粒,普通,2.5,0.4,26,69,41,11,1.1,83,3,12.51,1.78,2016-05-27 02:00
新竹,新竹市,52,懸浮微粒,普通,2.3,0.52,33,65,40,12,0.5,133,3,13.21,1.22,2016-05-27 02:00
竹東,新竹縣,42,,良好,1.8,0.46,18,42,28,7.5,1.7,146,,8.08,.62,2016-05-27 02:00
湖口,新竹縣,52,懸浮微粒,普通,3.5,0.43,34,60,45,13,1.6,188,4,15.57,2.68,2016-05-27 02:00
龍潭,桃園市,65,懸浮微粒,普通,1.4,0.38,35,60,43,9.3,0.6,166,8,10.1,.85,2016-05-27 02:00
平鎮,桃園市,74,懸浮微粒,普通,4.9,0.75,25,110,63,26,0.7,169,7,28.38,1.99,2016-05-27 02:00
觀音,桃園市,60,懸浮微粒,普通,3,0.46,15,73,46,16,1.1,207,5,16.95,.94,2016-05-27 02:00
大園,桃園市,66,懸浮微粒,普通,7.2,0.88,8.7,90,58,30,0.5,197,7,30.04,.3,2016-05-27 02:00
桃園,桃園市,60,懸浮微粒,普通,17,0.98,2.1,72,50,31,0.7,72,6,34.55,3.82,2016-05-27 02:00
松山,臺北市,44,,良好,1.8,0.54,7,29,15,17,0.5,241,3,22.71,6.02,2016-05-27 02:00
古亭,臺北市,39,,良好,1.3,0.38,14,29,13,9.3,1,193,2,11.35,2.06,2016-05-27 02:00
萬華,臺北市,33,,良好,2.2,0.4,15,15,7,10,1,184,2,11.76,1.61,2016-05-27 02:00
中山,臺北市,51,懸浮微粒,普通,1.5,0.45,11,41,13,15,1.3,167,3,16.5,1.91,2016-05-27 02:00
士林,臺北市,27,,良好,1.9,0.47,8.2,7,13,16,1.3,114,2,17.78,1.51,2016-05-27 02:00
淡水,新北市,43,,良好,2.9,0.65,7,39,20,20,,,3,23.01,2.77,2016-05-27 02:00
林口,新北市,54,懸浮微粒,普通,4.1,0.71,25,55,46,33,1.4,223,4,35.82,2.54,2016-05-27 02:00
菜寮,新北市,42,,良好,2.7,0.76,6.9,36,23,26,0.8,191,3,27.97,1.97,2016-05-27 02:00
新莊,新北市,56,懸浮微粒,普通,5.1,1.26,1.2,55,33,34,0.4,235,4,45.11,10.63,2016-05-27 02:00
板橋,新北市,61,懸浮微粒,普通,5.2,0.74,3.5,71,32,31,0.9,250,3,34.92,3.84,2016-05-27 02:00
土城,新北市,52,懸浮微粒,普通,2.9,0.55,9.4,50,35,20,0.9,139,4,23.03,3.16,2016-05-27 02:00
新店,新北市,44,,良好,1.7,0.24,16,32,16,5.7,1.7,149,3,7.2,1.54,2016-05-27 02:00
萬里,新北市,32,,良好,2,0.15,14,21,4,3.1,2.9,214,2,3.8,.68,2016-05-27 02:00
汐止,新北市,49,,良好,2.4,0.41,1.5,38,11,13,0.4,252,3,20.29,7.33,2016-05-27 02:00
基隆,基隆市,33,,良好,1.6,0.49,2.8,31,16,17,0.8,288,2,20.48,3.93,2016-05-27 02:00
大同,臺北市,56,懸浮微粒,普通,2.6,1.68,,57,11,24,,,3,53.1,28.79,2016-05-27 01:00
