SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,37,,良好,1.6,0.15,7.3,47,8,7.4,3,182,1,10.13,2.76,2016-06-01 04:00
關山,臺東縣,22,,良好,1.2,,3.4,20,10,3.2,0.5,186,1,5.83,2.6,2016-06-01 04:00
馬公,澎湖縣,14,,良好,0.8,0.06,17,9,4,1.8,2.5,171,1,2.78,.99,2016-06-01 04:00
金門,金門縣,27,,良好,0.9,0.09,15,23,5,5.1,3.9,212,1,6.38,1.27,2016-06-01 04:00
馬祖,連江縣,34,,良好,2.9,0.09,14,28,12,8.7,5.8,209,2,9.99,1.3,2016-06-01 04:00
埔里,南投縣,28,,良好,1.4,0.22,2.8,30,9,7.5,1,270,1,10.09,2.55,2016-06-01 04:00
復興,高雄市,18,,良好,3.5,0.11,14,16,0,5,0.6,236,1,6.2,1.16,2016-06-01 04:00
永和,新北市,36,,良好,1.6,0.4,5.4,32,15,11,1.2,61,2,13.71,3.17,2016-06-01 04:00
竹山,南投縣,25,,良好,2.2,0.12,4.2,25,9,6,0.9,3.3,1,7.35,1.32,2016-06-01 04:00
中壢,桃園市,48,,良好,3.1,0.26,5.6,37,5,13,1.7,170,1,17.17,4.21,2016-06-01 04:00
三重,新北市,50,,良好,3.8,0.5,,43,9,14,,,2,37.39,23.67,2016-06-01 04:00
冬山,宜蘭縣,32,,良好,1.7,0.25,8.3,35,6,6.7,0.8,280,1,8.89,2.17,2016-06-01 04:00
宜蘭,宜蘭縣,33,,良好,2.3,0.22,8.9,32,11,5.8,0.7,345,2,6.08,.32,2016-06-01 04:00
陽明,臺北市,15,,良好,1.4,0.14,13,12,8,7.3,,,1,8.28,.94,2016-06-01 04:00
花蓮,花蓮縣,28,,良好,1.1,0.14,11,27,13,2.4,2,221,2,3.58,1.2,2016-06-01 04:00
臺東,臺東縣,20,,良好,1,0.15,7,18,10,5.2,1,292,1,5.84,.63,2016-06-01 04:00
恆春,屏東縣,18,,良好,1.3,0.05,17,14,0,3.2,5.1,272,1,3.48,.31,2016-06-01 04:00
潮州,屏東縣,31,,良好,1.7,0.18,1.6,26,7,8.9,0.9,53,1,17.72,8.83,2016-06-01 04:00
屏東,屏東縣,30,,良好,,,,16,14,,2.1,42,2,,,2016-06-01 04:00
小港,高雄市,25,,良好,7.1,0.09,12,22,0,7,1.8,305,,7.75,.72,2016-06-01 04:00
前鎮,高雄市,16,,良好,3,0.09,14,12,4,4.7,1,315,1,5.78,1.1,2016-06-01 04:00
前金,高雄市,18,,良好,1.4,0.08,16,9,4,3,1.5,319,1,3.99,.98,2016-06-01 04:00
左營,高雄市,26,,良好,2.2,0.07,15,33,10,3.2,0.7,300,1,3.61,.39,2016-06-01 04:00
楠梓,高雄市,38,,良好,3.4,0.22,1.1,40,9,14,1.1,80,1,24.88,10.65,2016-06-01 04:00
林園,高雄市,15,,良好,4.3,0.21,9.7,17,8,9.2,1.7,302,1,10.41,1.22,2016-06-01 04:00
大寮,高雄市,26,,良好,8.5,0.18,5,27,4,11,0.8,62,1,14.12,2.91,2016-06-01 04:00
鳳山,高雄市,31,,良好,2.7,0.11,13,29,3,7.1,1.3,75,1,8.8,1.72,2016-06-01 04:00
仁武,高雄市,31,,良好,3.2,0.11,14,27,4,8.1,0.8,323,1,9.11,.98,2016-06-01 04:00
橋頭,高雄市,27,,良好,3.8,0.2,2.7,28,9,10,1.1,61,1,17.58,7.15,2016-06-01 04:00
美濃,高雄市,18,,良好,1.8,0.18,3,19,5,5.3,1.1,40,1,7.21,1.9,2016-06-01 04:00
臺南,臺南市,20,,良好,2.9,0.15,9.2,19,9,9.4,1.2,153,1,9.69,.31,2016-06-01 04:00
安南,臺南市,24,,良好,2.7,0.12,8.2,25,11,8.7,2,120,1,8.62,-.12,2016-06-01 04:00
善化,臺南市,21,,良好,2,0.12,6.3,25,0,8,1.7,119,1,8.96,.93,2016-06-01 04:00
新營,臺南市,29,,良好,2,0.13,9.3,32,7,4.1,1.8,165,1,5.02,.9,2016-06-01 04:00
嘉義,嘉義市,26,,良好,5.1,0.14,5.6,31,5,6.5,1.1,180,1,7.27,.74,2016-06-01 04:00
臺西,雲林縣,22,,良好,2.1,0.13,9.3,21,3,6,2.8,174,1,6.76,.74,2016-06-01 04:00
朴子,嘉義縣,41,,良好,4.3,0.2,1.9,49,14,15,2.1,166,1,17.96,3.07,2016-06-01 04:00
新港,嘉義縣,34,,良好,2.7,0.14,5.7,33,6,8,1.9,155,2,9.68,1.65,2016-06-01 04:00
崙背,雲林縣,26,,良好,2.9,0.2,7,26,11,9.5,3.5,173,2,9.92,.38,2016-06-01 04:00
斗六,雲林縣,27,,良好,1.8,0.13,7.8,18,12,6.8,1.2,190,1,9.13,2.29,2016-06-01 04:00
南投,南投縣,26,,良好,1.7,0.12,3.2,24,9,5.4,1.7,188,1,8.87,3.47,2016-06-01 04:00
二林,彰化縣,24,,良好,4.3,0.16,7.5,25,17,7.8,2.4,176,2,8.96,1.2,2016-06-01 04:00
線西,彰化縣,25,,良好,2.2,0.18,4.1,23,12,13,3.7,178,2,13.55,.97,2016-06-01 04:00
彰化,彰化縣,33,,良好,2.6,0.13,6.9,25,10,8.1,2.3,177,2,9.59,1.5,2016-06-01 04:00
西屯,臺中市,25,,良好,1.4,0.11,7.4,29,14,8.7,2.9,187,2,11.24,2.54,2016-06-01 04:00
忠明,臺中市,19,,良好,1.5,0.11,13,11,6,4.3,1.7,159,1,5.47,1.16,2016-06-01 04:00
大里,臺中市,33,,良好,1.6,0.11,14,7,4,4.4,1.7,170,1,5.58,1.15,2016-06-01 04:00
沙鹿,臺中市,19,,良好,2,0.11,8.9,22,3,7.2,3.6,168,1,8.21,1.02,2016-06-01 04:00
豐原,臺中市,14,,良好,2.5,0.05,17,7,12,2.3,5.1,190,2,3.72,1.43,2016-06-01 04:00
三義,苗栗縣,19,,良好,1.3,0.09,20,21,5,0.9,6,196,1,1.34,.43,2016-06-01 04:00
苗栗,苗栗縣,28,,良好,2.2,0.08,15,21,7,3.7,5.8,204,2,4.82,1.15,2016-06-01 04:00
頭份,苗栗縣,28,,良好,1.3,0.09,19,21,5,2.8,5.1,231,1,3.83,1.07,2016-06-01 04:00
新竹,新竹市,23,,良好,1.7,0.12,17,22,2,4.1,4.1,236,1,5.37,1.31,2016-06-01 04:00
竹東,新竹縣,30,,良好,1.7,0.21,5.3,26,9,9.2,1.9,142,2,10.38,1.18,2016-06-01 04:00
湖口,新竹縣,19,,良好,5,0.14,12,16,13,10,8.4,236,1,11.55,1.43,2016-06-01 04:00
龍潭,桃園市,42,,良好,2.2,0.16,9.5,35,16,7.7,2,171,2,8.93,1.22,2016-06-01 04:00
平鎮,桃園市,34,,良好,1.5,0.11,8.8,27,6,9.9,3.6,308,2,11.48,1.58,2016-06-01 04:00
觀音,桃園市,31,,良好,3.6,0.16,7.3,25,12,14,7.5,241,2,15.05,.63,2016-06-01 04:00
大園,桃園市,27,,良好,4.8,0.16,11,26,15,9.9,6.2,212,1,10.96,1.07,2016-06-01 04:00
桃園,桃園市,33,,良好,3.8,0.17,8.1,30,10,10,1.2,212,1,11.3,.92,2016-06-01 04:00
大同,臺北市,42,,良好,3.6,0.4,,36,11,14,,,2,18.53,4.79,2016-06-01 04:00
松山,臺北市,26,,良好,3.6,0.36,4.9,11,,16,1.9,217,,19.08,3.55,2016-06-01 04:00
古亭,臺北市,33,,良好,2,0.26,7.9,32,13,10,1.4,190,2,11.86,1.48,2016-06-01 04:00
萬華,臺北市,34,,良好,4.2,0.3,4.5,26,10,15,1.2,257,2,18.74,3.27,2016-06-01 04:00
中山,臺北市,38,,良好,3.4,0.38,4.5,32,12,15,1.9,266,2,22.2,6.83,2016-06-01 04:00
士林,臺北市,27,,良好,3,0.26,4.3,33,13,15,0.9,340,2,16.44,1.39,2016-06-01 04:00
淡水,新北市,33,,良好,2.8,0.17,7.1,21,9,10,,,2,11.9,1.95,2016-06-01 04:00
林口,新北市,30,,良好,2.7,0.17,4.2,28,12,16,2.7,215,2,17.9,2.04,2016-06-01 04:00
菜寮,新北市,40,,良好,3.4,0.19,6.1,34,16,12,2.1,237,2,14.32,1.9,2016-06-01 04:00
新莊,新北市,34,,良好,7.7,0.21,5.9,25,23,13,2.3,216,3,13.63,.92,2016-06-01 04:00
板橋,新北市,41,,良好,7.8,0.31,1.9,36,14,19,1.4,231,2,23.09,4.43,2016-06-01 04:00
土城,新北市,37,,良好,3.8,0.36,1.9,34,15,17,1.3,125,2,24.73,7.62,2016-06-01 04:00
新店,新北市,34,,良好,1.5,0.22,10,33,9,5.4,3.6,182,2,6.51,1.16,2016-06-01 04:00
萬里,新北市,35,,良好,3,0.3,6,37,16,10,1.6,204,2,10.92,.93,2016-06-01 04:00
汐止,新北市,38,,良好,2.1,0.48,0.3,42,16,15,0.7,198,2,30.81,15.5,2016-06-01 04:00
基隆,基隆市,34,,良好,1.9,0.3,2.5,33,18,13,0.6,288,2,16.29,2.95,2016-06-01 04:00
