SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,30,,良好,2.2,0.39,21,39,13,9.4,2.1,188,1,17.17,7.76,2016-05-23 08:00
關山,臺東縣,27,,良好,1.7,,11,34,11,3.2,0.6,208,1,5.52,2.31,2016-05-23 08:00
馬公,澎湖縣,33,,良好,1.8,0.33,39,12,6,5,0.9,56,1,7.53,2.54,2016-05-23 08:00
金門,金門縣,36,,良好,4.3,0.32,21,33,18,9.6,2.7,62,2,11.15,1.59,2016-05-23 08:00
馬祖,連江縣,49,,良好,2,0.38,59,63,38,7.6,4.1,52,3,9.93,2.29,2016-05-23 08:00
埔里,南投縣,21,,良好,1.2,0.26,13,29,7,5.2,0.8,342,1,9.56,4.33,2016-05-23 08:00
復興,高雄市,19,,良好,10,0.79,8.9,35,8,25,0.9,131,1,36.47,11.76,2016-05-23 08:00
永和,新北市,14,,良好,2,1.37,17,15,7,19,2.7,96,1,36.79,17.3,2016-05-23 08:00
竹山,南投縣,23,,良好,2.4,0.22,19,19,5,5.3,1.1,51,1,7.24,1.95,2016-05-23 08:00
中壢,桃園市,43,,良好,4.1,3.84,4.1,50,13,29,1.1,218,1,108.99,80.44,2016-05-23 08:00
三重,新北市,28,,良好,3,2.37,,33,11,30,,,1,95.06,65.55,2016-05-23 08:00
冬山,宜蘭縣,19,,良好,1.8,0.29,14,22,3,7.1,1,310,1,13.7,6.61,2016-05-23 08:00
宜蘭,宜蘭縣,24,,良好,1.9,0.36,11,25,8,7.2,1,148,1,10.34,3.18,2016-05-23 08:00
陽明,臺北市,21,,良好,0.8,0.13,25,8,4,0.8,,,1,1.53,.69,2016-05-23 08:00
花蓮,花蓮縣,27,,良好,2,0.44,9.6,32,0,9.3,0.8,328,1,16.17,6.82,2016-05-23 08:00
臺東,臺東縣,18,,良好,1.6,0.37,13,12,10,6,1.3,305,1,8.54,2.54,2016-05-23 08:00
恆春,屏東縣,0,,,1.7,0.09,32,,1,5.1,2.2,154,1,7.84,2.78,2016-05-23 08:00
潮州,屏東縣,21,,良好,1.8,0.19,25,28,15,3.1,3,176,1,4.5,1.4,2016-05-23 08:00
屏東,屏東縣,22,,良好,4.1,0.45,19,45,1,9.9,2,165,1,14.39,4.45,2016-05-23 08:00
小港,高雄市,21,,良好,18,0.34,19,34,6,17,2.3,177,1,22,4.92,2016-05-23 08:00
前鎮,高雄市,15,,良好,10,0.73,8,28,11,24,2.2,154,1,40.44,16.8,2016-05-23 08:00
前金,高雄市,24,,良好,17,0.49,10,36,7,24,1.8,160,1,42.88,18.69,2016-05-23 08:00
左營,高雄市,27,,良好,11,0.83,15,38,14,26,2.8,122,1,37.88,12.23,2016-05-23 08:00
