SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,42,,良好,1,0.16,27,43,8,3.5,4.8,194,1,5.86,2.39,2016-05-29 09:00
關山,臺東縣,24,,良好,1.2,,17,25,8,2.6,1.2,74,1,3.87,1.31,2016-05-29 09:00
馬公,澎湖縣,18,,良好,2.4,0.19,18,20,6,7,1.9,175,1,12.55,5.54,2016-05-29 09:00
金門,金門縣,22,,良好,2.2,0.12,25,22,5,4.5,4.3,216,1,6.49,1.99,2016-05-29 09:00
馬祖,連江縣,23,,良好,2.1,0.1,25,22,8,3.1,6.4,208,1,6,2.89,2016-05-29 09:00
埔里,南投縣,25,,良好,1.8,0.21,18,29,11,5,1.1,6.6,1,7.93,2.96,2016-05-29 09:00
復興,高雄市,23,,良好,4.4,0.4,19,25,0,9.3,1.1,211,1,12.38,3.11,2016-05-29 09:00
永和,新北市,26,,良好,2.2,0.89,19,25,11,16,2.8,238,1,30.24,14.65,2016-05-29 09:00
竹山,南投縣,29,,良好,3.1,0.17,27,28,14,5.5,1.4,210,1,7.13,1.61,2016-05-29 09:00
中壢,桃園市,41,,良好,2.3,0.81,19,41,14,13,2.5,176,1,34.5,21.21,2016-05-29 09:00
三重,新北市,46,,良好,3.4,1.33,,44,18,24,,,2,85.08,60.59,2016-05-29 09:00
冬山,宜蘭縣,19,,良好,0.9,0.2,23,14,1,5.1,1.4,79,1,7.4,2.34,2016-05-29 09:00
宜蘭,宜蘭縣,23,,良好,1.7,0.15,25,21,11,2.1,2,123,1,3.71,1.58,2016-05-29 09:00
陽明,臺北市,0,,,,,,22,13,,,,,,,2016-05-29 09:00
花蓮,花蓮縣,25,,良好,3.6,0.22,21,23,9,4.8,1.6,116,1,6.09,1.34,2016-05-29 09:00
臺東,臺東縣,20,,良好,1.8,0.24,25,15,7,3.1,2,135,1,5.2,2.09,2016-05-29 09:00
恆春,屏東縣,22,,良好,1,0.07,26,16,1,1.3,3.3,281,1,4.71,3.44,2016-05-29 09:00
潮州,屏東縣,34,,良好,2.5,0.24,28,35,19,6.8,2.1,286,2,9.01,2.19,2016-05-29 09:00
屏東,屏東縣,38,,良好,1.5,0.23,27,45,23,5.1,1.2,201,2,6.77,1.67,2016-05-29 09:00
小港,高雄市,29,,良好,4.4,0.12,22,19,0,6.7,2.6,258,1,9.42,2.76,2016-05-29 09:00
前鎮,高雄市,18,,良好,2.9,0.13,21,16,7,6.4,2.6,296,1,8.97,2.53,2016-05-29 09:00
前金,高雄市,25,,良好,1.8,0.11,26,26,13,1.1,2.2,233,1,2.74,1.64,2016-05-29 09:00
左營,高雄市,28,,良好,2.5,0.15,24,25,15,3.3,2.9,271,2,4.46,1.12,2016-05-29 09:00
楠梓,高雄市,41,,良好,1.6,0.14,23,39,8,2.2,1.9,275,1,3.49,1.33,2016-05-29 09:00
