SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
善化,臺南市,28,,良好,1,0.09,20,29,7,2.8,4.3,273,1,4.49,1.72,2016-05-30 15:00
麥寮,雲林縣,41,,良好,,0.08,19,48,7,3.2,4.4,238,1,4.43,1.26,2016-05-30 15:00
關山,臺東縣,26,,良好,1.4,,31,21,10,1.4,1,133,1,2.05,.68,2016-05-30 15:00
馬公,澎湖縣,17,,良好,1.4,0.18,21,12,3,6,1.8,176,1,9.52,3.52,2016-05-30 15:00
金門,金門縣,34,,良好,2.5,0.11,41,36,18,4.4,6.3,204,2,5.89,1.52,2016-05-30 15:00
馬祖,連江縣,65,臭氧,普通,2.4,0.77,78,59,44,7.1,3,49,3,10.44,3.33,2016-05-30 15:00
埔里,南投縣,31,,良好,0.9,0.19,38,21,16,5,2.3,218,1,6.21,1.25,2016-05-30 15:00
復興,高雄市,31,,良好,2,0.23,19,30,4,6.9,1.4,264,1,11.32,4.41,2016-05-30 15:00
永和,新北市,30,,良好,2.4,0.76,20,29,13,16,2.2,252,1,30.79,14.32,2016-05-30 15:00
竹山,南投縣,25,,良好,1.6,0.13,,22,5,5.9,1.9,163,1,6.87,.98,2016-05-30 15:00
中壢,桃園市,50,,良好,2.1,0.79,15,42,8,12,2.4,167,2,41.24,29.23,2016-05-30 15:00
三重,新北市,46,,良好,3.8,0.97,,38,16,23,,,2,73.38,50.7,2016-05-30 15:00
冬山,宜蘭縣,38,,良好,2.1,0.21,23,31,17,12,1.7,284,2,16.06,4.5,2016-05-30 15:00
宜蘭,宜蘭縣,39,,良好,2,0.2,38,40,13,6.1,1.6,68,2,6.53,.45,2016-05-30 15:00
陽明,臺北市,16,,良好,0.6,0.09,20,8,3,1.1,,,1,2.08,1.02,2016-05-30 15:00
花蓮,花蓮縣,41,,良好,2.1,0.15,49,32,16,2.5,1.8,154,2,2.83,.37,2016-05-30 15:00
臺東,臺東縣,23,,良好,1.8,0.26,27,26,11,5.6,1.8,109,2,7.85,2.24,2016-05-30 15:00
恆春,屏東縣,22,,良好,0.8,0.07,22,23,5,2.1,3.2,295,1,5.06,2.95,2016-05-30 15:00
潮州,屏東縣,44,,良好,3.3,0.14,28,45,25,6.5,3.8,281,3,8.06,1.6,2016-05-30 15:00
屏東,屏東縣,37,,良好,3.1,0.17,23,38,21,4.1,3,272,2,6.31,2.18,2016-05-30 15:00
小港,高雄市,38,,良好,3.1,0.12,18,32,0,9.1,3.1,285,1,14.62,5.48,2016-05-30 15:00
前鎮,高雄市,23,,良好,1.8,0.15,19,18,3,5.2,2.7,289,1,8.56,3.38,2016-05-30 15:00
前金,高雄市,26,,良好,2.5,0.11,,22,4,1.5,3.2,290,1,3.99,2.49,2016-05-30 15:00
左營,高雄市,31,,良好,,0.1,,25,7,1.3,4.2,285,1,2.38,1.06,2016-05-30 15:00
楠梓,高雄市,40,,良好,1.2,0.12,20,37,9,3.8,2.8,268,1,5.73,1.97,2016-05-30 15:00
林園,高雄市,26,,良好,6.4,0.06,20,24,8,6.9,3.7,283,2,10.95,4.1,2016-05-30 15:00
大寮,高雄市,34,,良好,6.4,0.1,18,32,8,7.5,2.7,257,1,11.56,4.09,2016-05-30 15:00
鳳山,高雄市,43,,良好,1.6,0.28,20,43,14,8.3,3.2,272,1,13.3,4.98,2016-05-30 15:00
仁武,高雄市,31,,良好,1.7,0.12,21,22,4,6.6,2.8,302,2,9.92,3.34,2016-05-30 15:00
橋頭,高雄市,28,,良好,2,0.13,20,24,8,3.6,4.8,271,1,7.13,3.51,2016-05-30 15:00
美濃,高雄市,21,,良好,1.8,0.11,24,20,11,2.8,2.4,286,1,5.32,2.53,2016-05-30 15:00
臺南,臺南市,22,,良好,1.5,0.12,19,26,4,3.4,3.3,268,1,4.52,1.1,2016-05-30 15:00
安南,臺南市,30,,良好,2.7,0.09,21,29,4,-0.2,3.6,281,1,.01,.25,2016-05-30 15:00
新營,臺南市,36,,良好,1.7,0.14,18,31,9,3.8,2.6,240,2,5.34,1.51,2016-05-30 15:00
嘉義,嘉義市,42,,良好,,,,,,,4.1,231,1,,,2016-05-30 15:00
臺西,雲林縣,36,,良好,1.3,0.12,22,40,14,2.1,5.3,243,1,3.66,1.6,2016-05-30 15:00
朴子,嘉義縣,38,,良好,1.9,0.14,19,35,11,4.2,3.4,238,1,6.43,2.2,2016-05-30 15:00
新港,嘉義縣,41,,良好,0.7,0.07,19,43,4,0.5,4.2,219,1,1.73,1.22,2016-05-30 15:00
崙背,雲林縣,26,,良好,0.7,0.08,22,20,11,1.4,4.5,227,2,2.1,.67,2016-05-30 15:00
斗六,雲林縣,25,,良好,2.3,0.17,16,25,6,4.2,2.8,242,,7.72,3.5,2016-05-30 15:00
南投,南投縣,31,,良好,2.2,0.14,26,27,17,2.7,3.5,231,2,6.43,3.76,2016-05-30 15:00
二林,彰化縣,22,,良好,3.3,0.09,25,20,10,5.3,4,257,1,6.92,1.64,2016-05-30 15:00
線西,彰化縣,28,,良好,1.3,0.08,23,26,12,1.6,5.1,240,1,3.4,1.75,2016-05-30 15:00
彰化,彰化縣,43,,良好,1.9,0.14,21,52,18,2.8,3.5,242,2,4.41,1.6,2016-05-30 15:00
西屯,臺中市,35,,良好,1,,25,40,17,4.4,4,227,2,6.58,2.23,2016-05-30 15:00
忠明,臺中市,30,,良好,1.7,0.17,22,35,19,6.3,2.7,267,2,9.27,2.97,2016-05-30 15:00
大里,臺中市,35,,良好,1.8,0.13,37,48,14,6.3,3.4,270,2,9.07,2.79,2016-05-30 15:00
沙鹿,臺中市,29,,良好,2.8,0.15,23,27,13,3.5,3.3,231,1,5.04,1.52,2016-05-30 15:00
豐原,臺中市,29,,良好,2.7,0.2,35,27,18,7.9,3.6,232,2,9.69,1.8,2016-05-30 15:00
三義,苗栗縣,30,,良好,10,0.36,18,33,12,9.9,3.5,212,2,17.65,7.76,2016-05-30 15:00
苗栗,苗栗縣,36,,良好,,,,,,,3.2,246,2,,,2016-05-30 15:00
頭份,苗栗縣,31,,良好,1.9,0.09,27,28,5,2.9,4.7,249,1,4.08,1.19,2016-05-30 15:00
新竹,新竹市,30,,良好,2.8,0.2,22,30,6,6.1,4,248,1,9.97,3.83,2016-05-30 15:00
竹東,新竹縣,30,,良好,1.5,0.13,28,32,13,3.9,4.2,241,2,4.94,1.01,2016-05-30 15:00
湖口,新竹縣,24,,良好,0.7,0.09,24,20,15,1.9,5.6,256,2,1.67,-.25,2016-05-30 15:00
龍潭,桃園市,50,,良好,1.8,0.14,25,57,13,4.7,5,256,2,8.17,3.48,2016-05-30 15:00
平鎮,桃園市,40,,良好,1.8,0.12,19,44,13,5.1,3.5,322,2,9.81,4.7,2016-05-30 15:00
觀音,桃園市,41,,良好,1.9,0.09,14,38,14,12,4.7,263,1,22.98,10.99,2016-05-30 15:00
大園,桃園市,31,,良好,2.9,0.1,20,33,11,6.5,4.6,256,2,9.91,3.39,2016-05-30 15:00
桃園,桃園市,31,,良好,1.8,0.18,23,29,8,5.6,3.6,290,1,8.92,3.37,2016-05-30 15:00
大同,臺北市,51,懸浮微粒,普通,2.4,0.53,,56,21,12,,,2,21.9,10.1,2016-05-30 15:00
松山,臺北市,37,,良好,1.6,0.19,26,41,9,9.4,4.5,294,2,12.78,3.4,2016-05-30 15:00
古亭,臺北市,34,,良好,,,,,,,3.3,270,2,,,2016-05-30 15:00
萬華,臺北市,33,,良好,2.4,0.36,22,37,13,13,3.1,293,2,19.55,6.43,2016-05-30 15:00
中山,臺北市,41,,良好,2.4,,22,44,22,13,3.7,322,2,20.64,7.31,2016-05-30 15:00
士林,臺北市,30,,良好,2.1,0.14,23,36,23,4.3,5.4,319,2,7.05,2.75,2016-05-30 15:00
淡水,新北市,35,,良好,1.9,0.07,22,30,12,0.7,,,2,1.56,.92,2016-05-30 15:00
林口,新北市,36,,良好,,,,,,,3.6,291,2,,,2016-05-30 15:00
菜寮,新北市,39,,良好,3.6,0.21,21,40,13,11,3.3,282,2,15.23,4.16,2016-05-30 15:00
新莊,新北市,28,,良好,1.9,0.13,24,26,16,7.5,2.7,237,2,9.87,2.37,2016-05-30 15:00
板橋,新北市,39,,良好,2.9,0.19,26,39,6,7.1,4.3,293,1,10.59,3.45,2016-05-30 15:00
土城,新北市,28,,良好,2.2,0.16,29,24,12,6.6,2.9,287,1,8.01,1.4,2016-05-30 15:00
新店,新北市,32,,良好,2.1,0.21,35,36,15,9.3,7,170,2,11.75,2.43,2016-05-30 15:00
