SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,42,,良好,2.2,0.15,23,43,8,3.3,4.7,221,1,5.2,1.91,2016-06-02 10:00
關山,臺東縣,24,,良好,1.4,,29,21,13,3.5,1.6,66,1,5.47,1.97,2016-06-02 10:00
馬公,澎湖縣,22,,良好,8.1,0.17,14,22,,,3.1,164,,,,2016-06-02 10:00
金門,金門縣,44,,良好,4.3,0.25,20,62,21,10,4.4,81,2,15.87,5.55,2016-06-02 10:00
馬祖,連江縣,45,,良好,2.3,0.2,54,17,6,9.6,5.1,63,1,14.26,4.64,2016-06-02 10:00
埔里,南投縣,24,,良好,2.3,0.15,22,25,6,5.3,1.4,320,1,8.12,2.84,2016-06-02 10:00
復興,高雄市,35,,良好,2.5,0.47,20,51,7,7.5,1.4,210,1,11.18,3.66,2016-06-02 10:00
永和,新北市,22,,良好,2.5,1.3,10,27,11,26,1.1,84,1,52.74,26.3,2016-06-02 10:00
竹山,南投縣,29,,良好,2.5,0.16,31,56,14,4.4,1.7,225,1,5.42,1.01,2016-06-02 10:00
中壢,桃園市,51,懸浮微粒,普通,2.7,0.65,11,63,15,27,1.5,88,2,41.5,14.03,2016-06-02 10:00
三重,新北市,40,,良好,2.2,1.17,,42,15,32,,,2,115.59,83.76,2016-06-02 10:00
冬山,宜蘭縣,40,,良好,2.7,0.37,29,39,11,14,1.6,61,2,18.53,4.85,2016-06-02 10:00
宜蘭,宜蘭縣,39,,良好,1.9,0.33,34,40,10,6.6,1.8,79,1,8.22,1.57,2016-06-02 10:00
陽明,臺北市,22,,良好,2,0.14,27,6,1,3.9,,,1,4.46,.6,2016-06-02 10:00
花蓮,花蓮縣,28,,良好,2.6,0.17,34,32,20,5,2.7,128,2,7.69,2.69,2016-06-02 10:00
臺東,臺東縣,23,,良好,1.5,0.32,24,28,18,5.3,2,88,2,8.72,3.44,2016-06-02 10:00
恆春,屏東縣,22,,良好,1,0.06,26,25,3,1.5,4.3,302,1,8.84,7.36,2016-06-02 10:00
潮州,屏東縣,41,,良好,,,,54,15,8.3,1.9,281,1,10.86,2.61,2016-06-02 10:00
屏東,屏東縣,31,,良好,1.9,0.22,27,34,22,6.6,1.4,284,2,8.45,1.83,2016-06-02 10:00
小港,高雄市,32,,良好,5.5,0.13,21,31,3,7.9,3.5,267,1,13.1,5.16,2016-06-02 10:00
前鎮,高雄市,24,,良好,2.4,0.15,22,27,9,5.2,2,284,1,7.96,2.72,2016-06-02 10:00
前金,高雄市,32,,良好,1.7,0.13,25,30,13,2.1,2.7,275,1,3.47,1.33,2016-06-02 10:00
左營,高雄市,0,,,2,0.12,14,37,12,3,2.8,292,,4.55,1.59,2016-06-02 10:00
楠梓,高雄市,43,,良好,1.2,0.17,21,45,8,4.6,1.9,260,2,7.72,3.13,2016-06-02 10:00
