SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,62,懸浮微粒,普通,0.8,0.29,6.4,54,28,9,1.4,57,5,11.32,2.29,2016-05-22 06:00
關山,臺東縣,33,,良好,1.3,,5.2,31,5,1.5,0.6,211,1,2.57,1.05,2016-05-22 06:00
馬公,澎湖縣,17,,良好,2.1,0.13,21,10,2,4.3,2.9,115,1,6.51,2.19,2016-05-22 06:00
金門,金門縣,12,,良好,2.6,0.35,15,13,3,14,3.2,62,1,15.42,1.48,2016-05-22 06:00
馬祖,連江縣,23,,良好,2.2,0.37,27,9,6,5,2.5,77,1,5.4,.39,2016-05-22 06:00
埔里,南投縣,27,,良好,1.2,0.18,11,22,5,5.5,0.9,345,2,6.04,.52,2016-05-22 06:00
復興,高雄市,27,,良好,2.6,0.27,9.6,22,3,11,1.5,114,1,11.97,1.12,2016-05-22 06:00
永和,新北市,39,,良好,0.4,0.56,5.2,30,13,9.8,1,120,2,16.32,6.48,2016-05-22 06:00
竹山,南投縣,36,,良好,2,0.24,5.5,27,4,8.3,0.8,112,2,9.22,.9,2016-05-22 06:00
中壢,桃園市,65,懸浮微粒,普通,10,1.42,3.4,79,37,29,0.7,214,3,55.68,27.17,2016-05-22 06:00
三重,新北市,56,懸浮微粒,普通,0.8,0.98,,31,6,15,,,3,55.73,40.27,2016-05-22 06:00
冬山,宜蘭縣,29,,良好,2,0.3,12,26,10,4.2,0.8,205,,5.61,1.43,2016-05-22 06:00
宜蘭,宜蘭縣,36,,良好,1.9,0.31,12,33,13,5.8,1,284,2,6.6,.84,2016-05-22 06:00
陽明,臺北市,24,,良好,1.8,0.19,29,17,11,1.4,,,1,1.82,.45,2016-05-22 06:00
花蓮,花蓮縣,27,,良好,1.2,0.23,7.8,24,7,2.8,1.3,276,1,5.16,2.36,2016-05-22 06:00
臺東,臺東縣,20,,良好,1.5,0.22,5.9,22,5,3.1,1,299,1,4.77,1.67,2016-05-22 06:00
恆春,屏東縣,34,,良好,0.9,0.11,24,,1,-0.1,2.7,68,1,2.53,2.62,2016-05-22 06:00
潮州,屏東縣,25,,良好,1.8,0.15,5.6,23,3,5.5,2,152,1,6.61,1.15,2016-05-22 06:00
屏東,屏東縣,27,,良好,0.7,0.17,13,14,7,5.3,1.9,14,2,6.74,1.45,2016-05-22 06:00
小港,高雄市,37,,良好,1.6,0.18,10,33,4,5.9,2.6,52,2,7.93,2.02,2016-05-22 06:00
前鎮,高雄市,27,,良好,1.9,0.29,9.2,26,2,9,1.3,62,1,10.33,1.32,2016-05-22 06:00
前金,高雄市,35,,良好,1.1,0.33,7.5,26,4,11,0.9,129,2,14.42,3.23,2016-05-22 06:00
左營,高雄市,36,,良好,3.3,0.28,9.1,33,8,12,1.5,97,1,12.4,.81,2016-05-22 06:00
楠梓,高雄市,45,,良好,1.4,0.18,12,33,6,8.2,1.6,87,1,9.13,.96,2016-05-22 06:00
林園,高雄市,23,,良好,1.8,0.18,4.5,25,8,6.6,1.6,68,1,7.75,1.11,2016-05-22 06:00
大寮,高雄市,41,,良好,2.4,0.61,9,44,35,7.5,1.1,30,2,8.86,1.4,2016-05-22 06:00
鳳山,高雄市,34,,良好,2.4,0.17,11,27,0,7.8,2.4,87,1,8.4,.62,2016-05-22 06:00
仁武,高雄市,44,,良好,3.7,0.19,15,62,12,7.7,1.5,98,2,8.24,.52,2016-05-22 06:00
橋頭,高雄市,25,,良好,0.8,0.14,10,22,4,4.8,2,61,1,6.22,1.43,2016-05-22 06:00
美濃,高雄市,20,,良好,1.1,0.14,19,11,3,1.8,1.5,81,1,2.7,.86,2016-05-22 06:00
臺南,臺南市,31,,良好,1.7,0.22,20,26,7,5.5,2,121,1,6.28,.75,2016-05-22 06:00
安南,臺南市,37,,良好,-0.5,0.19,20,31,0,1.9,2.9,112,1,2.8,.94,2016-05-22 06:00
善化,臺南市,24,,良好,0.5,0.11,19,15,6,3.7,2.1,134,1,4.88,1.13,2016-05-22 06:00
新營,臺南市,44,,良好,1.8,0.15,18,40,14,4.6,1.3,197,2,5.55,.95,2016-05-22 06:00
嘉義,嘉義市,54,懸浮微粒,普通,0.8,0.33,9,30,3,6.7,0.9,176,3,7.75,1.06,2016-05-22 06:00
臺西,雲林縣,65,懸浮微粒,普通,1.2,0.19,5.1,60,39,14,2.3,100,6,16.21,2.47,2016-05-22 06:00
朴子,嘉義縣,57,懸浮微粒,普通,1.6,0.51,3.8,73,43,14,1.1,123,3,15.23,1.32,2016-05-22 06:00
新港,嘉義縣,63,懸浮微粒,普通,1.2,0.53,2.3,50,25,11,0.5,56,5,14.71,3.71,2016-05-22 06:00
崙背,雲林縣,60,懸浮微粒,普通,1.1,0.2,8.6,28,11,6.8,1.1,37,5,7.93,1.14,2016-05-22 06:00
斗六,雲林縣,44,,良好,1.7,0.2,7,28,11,7.2,0.6,73,2,9.57,2.38,2016-05-22 06:00
南投,南投縣,45,,良好,0.5,0.22,6.2,30,12,5.2,0.7,55,3,8.51,3.36,2016-05-22 06:00
二林,彰化縣,60,懸浮微粒,普通,1.8,0.2,7.3,45,23,6.8,1.2,147,5,8.09,1.28,2016-05-22 06:00
線西,彰化縣,51,懸浮微粒,普通,3.6,0.24,8,30,19,13,0.9,137,4,18.82,5.46,2016-05-22 06:00
彰化,彰化縣,58,懸浮微粒,普通,0.7,0.18,19,20,15,2.5,0.9,210,4,3.6,1.1,2016-05-22 06:00
西屯,臺中市,54,懸浮微粒,普通,2,0.26,11,31,22,11,0.9,169,5,12.3,1.58,2016-05-22 06:00
忠明,臺中市,56,懸浮微粒,普通,1.3,0.22,12,26,5,8.6,1.1,105,4,9.95,1.34,2016-05-22 06:00
大里,臺中市,66,懸浮微粒,普通,1.7,0.25,7.8,29,7,10,1.7,106,4,12.22,2.12,2016-05-22 06:00
沙鹿,臺中市,52,懸浮微粒,普通,0.5,0.19,25,19,3,5.9,2.4,162,3,7.02,1.12,2016-05-22 06:00
豐原,臺中市,20,,良好,2.9,0.22,18,7,10,6,1.5,199,2,7.54,1.59,2016-05-22 06:00
三義,苗栗縣,25,,良好,1.6,0.18,24,14,5,4.3,1.2,238,1,5.32,1.07,2016-05-22 06:00
苗栗,苗栗縣,42,,良好,1.1,0.33,4.8,34,10,11,0.5,243,3,12.52,1.72,2016-05-22 06:00
頭份,苗栗縣,44,,良好,0.6,0.31,6.4,31,15,8.4,1,65,2,12.46,4.07,2016-05-22 06:00
新竹,新竹市,47,,良好,1.3,0.46,2.7,36,19,11,1.8,87,3,15.48,4.03,2016-05-22 06:00
竹東,新竹縣,38,,良好,1.2,0.3,4.8,33,12,4.3,0.8,116,2,7.02,2.7,2016-05-22 06:00
湖口,新竹縣,48,,良好,2.2,0.77,3.2,51,37,24,1.5,91,3,30.42,6.84,2016-05-22 06:00
龍潭,桃園市,55,懸浮微粒,普通,2,0.51,2.7,53,29,12,0.7,72,3,16.08,4.19,2016-05-22 06:00
平鎮,桃園市,60,懸浮微粒,普通,9.2,0.74,4.6,64,44,27,1.5,86,3,31.71,4.23,2016-05-22 06:00
觀音,桃園市,46,,良好,3.9,0.5,9.3,47,43,34,1.8,96,3,35.02,1.23,2016-05-22 06:00
大園,桃園市,48,,良好,5.2,0.86,2.9,61,40,36,0.8,125,3,51.02,15.29,2016-05-22 06:00
桃園,桃園市,49,,良好,11,0.87,2.5,50,38,23,0.5,33,4,32.11,9.11,2016-05-22 06:00
大同,臺北市,52,懸浮微粒,普通,3.2,1.3,,46,10,16,,,3,51.86,35.44,2016-05-22 06:00
松山,臺北市,48,,良好,1.9,0.49,11,35,26,11,0.9,36,3,13.21,2.31,2016-05-22 06:00
古亭,臺北市,39,,良好,1.5,0.55,2.2,31,17,12,0.6,166,2,21.46,9.39,2016-05-22 06:00
萬華,臺北市,47,,良好,1.1,0.52,2.5,32,12,13,1,179,3,17.9,5.06,2016-05-22 06:00
中山,臺北市,52,懸浮微粒,普通,1.1,0.48,6,38,15,13,0.7,178,3,15.13,2.02,2016-05-22 06:00
士林,臺北市,35,,良好,3.6,0.63,3.5,32,29,19,0.8,107,,23.8,4.32,2016-05-22 06:00
淡水,新北市,39,,良好,2.8,0.81,2.3,46,27,19,,,3,29.74,11.08,2016-05-22 06:00
林口,新北市,62,懸浮微粒,普通,4.1,0.51,14,79,36,17,2.1,144,4,19.62,2.44,2016-05-22 06:00
菜寮,新北市,48,,良好,2.9,0.76,1.1,46,22,16,1.4,156,3,30.84,14.5,2016-05-22 06:00
新莊,新北市,50,,良好,4.6,0.75,0.8,46,31,19,0.5,338,3,34.01,14.73,2016-05-22 06:00
板橋,新北市,53,懸浮微粒,普通,2.6,0.65,1.8,48,28,18,0.5,117,3,26.97,9.28,2016-05-22 06:00
土城,新北市,44,,良好,2.2,0.62,2.3,34,21,13,0.5,234,3,27.69,15.02,2016-05-22 06:00
新店,新北市,37,,良好,1.5,0.34,8.1,30,13,6.7,1.9,152,2,9.9,3.19,2016-05-22 06:00
萬里,新北市,46,,良好,2.5,0.32,11,42,25,5.4,1.8,208,3,6.5,1.15,2016-05-22 06:00
汐止,新北市,50,,良好,2.4,0.63,1.3,46,26,18,0.9,27,3,28.15,10.43,2016-05-22 06:00
基隆,基隆市,36,,良好,0.9,0.52,3.2,33,19,12,0.5,79,2,14.54,2.96,2016-05-22 06:00
