SiteId,SiteName,County,Township,TWD67Lon,TWD67Lat,Rainfall10min,Rainfall1hr,Rainfall3hr,Rainfall6hr,Rainfall12hr,Rainfall24hr,Now,Unit,PublishTime
C0M650,朴子,嘉義縣,朴子市,120.2309,23.4364,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K400,斗六,雲林縣,斗六市,120.5330,23.7223,0,0,1,1.5,1.5,1.5,1.5,局屬無人測站,2016-05-25 06:10:00
C0K460,斗南,雲林縣,斗南鎮,120.4702,23.6805,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0G720,溪州,彰化縣,溪州鄉,120.4909,23.8533,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0X240,關子嶺,臺南市,白河區,120.4995,23.3331,0,0,0,0,4,43.5,0.5,局屬無人測站,2016-05-25 06:10:00
C0X270,柳營,臺南市,柳營區,120.3655,23.2590,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0M730,嘉義市東,嘉義市,東區,120.4524,23.4594,0,0,0,0,0,28.5,0,局屬無人測站,2016-05-25 06:10:00
C0M690,水上,嘉義縣,水上鄉,120.3808,23.4215,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0M710,東石,嘉義縣,東石鄉,120.1457,23.4607,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0M670,大林,嘉義縣,大林鎮,120.4503,23.6024,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K390,土庫,雲林縣,土庫鎮,120.3874,23.6808,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K420,西螺,雲林縣,西螺鎮,120.4593,23.8022,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0X260,後壁,臺南市,後壁區,120.3542,23.3681,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0X220,學甲,臺南市,學甲區,120.1741,23.2321,0,0,0,0,0,1,0,局屬無人測站,2016-05-25 06:10:00
C0X230,鹽水,臺南市,鹽水區,120.2395,23.2743,0,0,0,0,0,1.5,0,局屬無人測站,2016-05-25 06:10:00
C0M640,中埔,嘉義縣,中埔鄉,120.5315,23.4271,0,0,0,0,0,8.5,0,局屬無人測站,2016-05-25 06:10:00
C0M700,竹崎,嘉義縣,竹崎鄉,120.5474,23.5279,0,0,0,0,1,19,0,局屬無人測站,2016-05-25 06:10:00
C0K440,二崙,雲林縣,二崙鄉,120.4008,23.7746,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0M660,溪口,嘉義縣,溪口鄉,120.3954,23.6059,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0K430,褒忠,雲林縣,褒忠鄉,120.2955,23.6927,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0X280,將軍,臺南市,將軍區,120.1277,23.2167,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0X250,新營,臺南市,新營區,120.3086,23.3124,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0M720,番路,嘉義縣,番路鄉,120.5460,23.4664,0,0,0,0,0,27,0,局屬無人測站,2016-05-25 06:10:00
C0X210,白河,臺南市,白河區,120.4063,23.3492,0,0,0,0,0,0.5,0,局屬無人測站,2016-05-25 06:10:00
C0G730,二林,彰化縣,二林鎮,120.3679,23.9051,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0I410,名間,南投縣,名間鄉,120.6933,23.8388,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0I380,集集,南投縣,集集鎮,120.7933,23.8300,0,0,0.5,0.5,0.5,2,0.5,局屬無人測站,2016-05-25 06:10:00
C0I360,水里,南投縣,水里鄉,120.8417,23.8143,0,0,0,0,2,4,0,局屬無人測站,2016-05-25 06:10:00
C0I390,仁愛,南投縣,仁愛鄉,121.1241,24.0239,0,0,0,0.5,13.5,14,0.5,局屬無人測站,2016-05-25 06:10:00
C1I430,翠華,南投縣,仁愛鄉,121.2161,24.1937,0,0,0,1,4.5,5.5,1,局屬無人測站,2016-05-25 06:10:00
C0I420,國姓,南投縣,國姓鄉,120.8469,24.0396,0,0,0,0,0,0,0,局屬無人測站,2016-05-25 06:10:00
C0I370,魚池,南投縣,魚池鄉,120.9332,23.8975,0,0,0,0,7,14.5,0,局屬無人測站,2016-05-25 06:10:00
C1I400,凌霄,南投縣,仁愛鄉,120.9963,24.0206,0,0,0,0,2.5,5.5,0,局屬無人測站,2016-05-25 06:10:00
81S910,膽曼,臺東縣,成功鎮,121.4047,23.2267,0,0,1.5,4.5,17,17,4.5,農委會水土保持局,2016-05-25 06:10:00
81S900,加拿國小,臺東縣,鹿野鄉,121.1229,23.0028,0,0.5,0.5,1,6,6.5,1,農委會水土保持局,2016-05-25 06:10:00
81S890,初鹿國中,臺東縣,卑南鄉,121.0843,22.8517,0.5,1,1,1.5,1.5,3,1.5,農委會水土保持局,2016-05-25 06:10:00
81S880,愛國埔分,臺東縣,大武鄉,120.9147,22.4595,0,0,0,0,0.5,2,0,農委會水土保持局,2016-05-25 06:10:00
81R650,丹路國小,屏東縣,獅子鄉,120.7433,22.2051,0,0,0,0,0,0.5,0,農委會水土保持局,2016-05-25 06:10:00
81R640,佳義國小,屏東縣,瑪家鄉,120.6229,22.6549,0,0,0,0,0,0.5,0,農委會水土保持局,2016-05-25 06:10:00
81V820,建山國小,高雄市,桃源區,120.6748,23.1072,0,0,0,2,2.5,33,2,農委會水土保持局,2016-05-25 06:10:00
81O960,崁頭山,臺南市,東山區,120.4935,23.2696,0,0,0,0.5,10,16.5,0.5,農委會水土保持局,2016-05-25 06:10:00
81M670,新美國小,嘉義縣,阿里山鄉,120.6750,23.3396,0,0,0,0,1.5,53,0,農委會水土保持局,2016-05-25 06:10:00
81M660,阿里山國,嘉義縣,阿里山鄉,120.6936,23.4708,0,0,0,0,0.5,19,0,農委會水土保持局,2016-05-25 06:10:00
81U870,樂水分校,宜蘭縣,大同鄉,121.5211,24.6021,0,0,0,0,0,0,0,農委會水土保持局,2016-05-25 06:10:00
81U860,金岳國小,宜蘭縣,南澳鄉,121.7692,24.4722,0,0,0,0,0,0,0,農委會水土保持局,2016-05-25 06:10:00
81D600,五峰國小,新竹縣,五峰鄉,121.1094,24.6333,0,0.5,0.5,0.5,0.5,0.5,0.5,農委會水土保持局,2016-05-25 06:10:00
81AH40,精忠,新北市,新店區,121.5322,24.9597,0,0.5,0.5,0.5,0.5,0.5,0.5,農委會水土保持局,2016-05-25 06:10:00
88T830,和中,花蓮縣,秀林鄉,121.7336,24.2726,0,0,0,0,0,0,0,農委會水土保持局,2016-05-25 06:10:00
swc180,火炎山,苗栗縣,三義鄉,120.7211,24.3578,0,0,0,0,0,0,0,農委會水土保持局,2016-05-25 06:10:00
wr0702,崁頂,屏東縣,崁頂鄉,120.5030,22.5150,0,0,0,0,0,0,0,第七河川局,2016-05-25 06:10:00
wr0701,楠溪,南投縣,信義鄉,120.8998,23.4746,0,0,1,1,6,18,1,第七河川局,2016-05-25 06:10:00
wr0411,外來吉,雲林縣,斗六市,120.7319,23.5314,0,0,0,0,0,10,0,第四河川局,2016-05-25 06:10:00
wr0410,豐山,雲林縣,斗六市,120.7386,23.5764,0,0,0,0,1,8,0,第四河川局,2016-05-25 06:10:00
wr0102,吉林國小,新北市,貢寮區,121.8794,24.9875,0,0,0,0,1,3,0,第一河川局,2016-05-25 06:10:00
wr0101,上林國小,新北市,雙溪區,121.8253,25.0311,0,1,1,1,1,4,1,第一河川局,2016-05-25 06:10:00
O1V820,圓富國中,高雄市,旗山區,120.5010,22.9284,0,0,0,0,8,27,0,第七河川局,2016-05-25 06:10:00
O1V810,溝坪,高雄市,內門區,120.5009,22.9925,0,0,0,0,1,19,0,第七河川局,2016-05-25 06:10:00
O1V550,多納(1),高雄市,茂林區,120.7080,22.9120,0,0,0,3,3,23,3,第七河川局,2016-05-25 06:10:00
O1V540,高中(2),高雄市,六龜區,120.7107,23.1321,0,0,0,1,4,38,1,第七河川局,2016-05-25 06:10:00
O1V520,民權,高雄市,那瑪夏區,120.6886,23.2421,0,0,0,0,0,14,0,第七河川局,2016-05-25 06:10:00
O1V510,寶山,高雄市,桃源區,120.7008,23.0384,0,0,0,3,3,33,3,第七河川局,2016-05-25 06:10:00
O1T820,太平國小,花蓮縣,卓溪鄉,121.3120,23.4075,0,0,0,5,20,26,5,第九河川局,2016-05-25 06:10:00
O1T810,卓清國小,花蓮縣,卓溪鄉,121.2639,23.2802,0,0,0,9,20,21,9,第九河川局,2016-05-25 06:10:00
O1T800,奇美國小,花蓮縣,瑞穗鄉,121.4378,23.4987,0,0,0,21,29,29,21,第九河川局,2016-05-25 06:10:00
O1S690,神山,屏東縣,霧台鄉,120.7202,22.7508,0,0,0,0,0,0,0,第七河川局,2016-05-25 06:10:00
O1S680,金針山,臺東縣,太麻里鄉,120.9445,22.6446,0,0,0,0,0,7,0,第八河川局,2016-05-25 06:10:00
O1S660,賓茂國小,臺東縣,金峰鄉,120.9463,22.5342,0,0,0,0,0,0,0,第八河川局,2016-05-25 06:10:00
O1S650,利吉國小,臺東縣,卑南鄉,121.1310,22.8405,0,1,2,3,3,3,3,第八河川局,2016-05-25 06:10:00
O1R620,新庄國小,屏東縣,萬丹鄉,120.4803,22.5619,0,0,0,0,0,0,0,第七河川局,2016-05-25 06:10:00
O1N1A0,大竹坑,臺南市,南化區,120.5689,23.1435,0,0,0,0,18,52,0,第六河川局,2016-05-25 06:10:00
O1D590,成德中學,新竹市,北區,120.9445,24.7916,0,0,0,0,0,
